Gene_ID	COG_category	GOs	KEGG_ko	PFAMs	InterPro_Acc	NR_Hit_ID	NR_Description	SwissProt_Hit_ID	SwissProt_Description
misc_18	V	GO:0000188,GO:0001701,GO:0001772,GO:0001932,GO:0001933,GO:0002682,GO:0002683,GO:0002694,GO:0002695,GO:0003674,GO:0003824,GO:0004721,GO:0004725,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005829,GO:0005886,GO:0006464,GO:0006469,GO:0006470,GO:0006793,GO:0006796,GO:0006807,GO:0007162,GO:0007275,GO:0007346,GO:0008138,GO:0008150,GO:0008152,GO:0009790,GO:0009792,GO:0009892,GO:0009966,GO:0009968,GO:0009987,GO:0010563,GO:0010605,GO:0010646,GO:0010648,GO:0016020,GO:0016311,GO:0016787,GO:0016788,GO:0016791,GO:0019220,GO:0019222,GO:0019538,GO:0019899,GO:0019900,GO:0019901,GO:0022407,GO:0022408,GO:0023051,GO:0023057,GO:0030155,GO:0031323,GO:0031324,GO:0031399,GO:0031400,GO:0031974,GO:0031981,GO:0032268,GO:0032269,GO:0032501,GO:0032502,GO:0032872,GO:0032873,GO:0033549,GO:0033673,GO:0035335,GO:0036211,GO:0042325,GO:0042326,GO:0042578,GO:0043009,GO:0043086,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043405,GO:0043407,GO:0043408,GO:0043409,GO:0043412,GO:0043549,GO:0044092,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044425,GO:0044428,GO:0044444,GO:0044446,GO:0044459,GO:0044464,GO:0045787,GO:0045859,GO:0045931,GO:0045936,GO:0046328,GO:0046329,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048585,GO:0048856,GO:0050776,GO:0050789,GO:0050790,GO:0050794,GO:0050854,GO:0050856,GO:0050858,GO:0050860,GO:0050863,GO:0050865,GO:0050866,GO:0050868,GO:0051171,GO:0051172,GO:0051174,GO:0051246,GO:0051248,GO:0051249,GO:0051250,GO:0051338,GO:0051348,GO:0051726,GO:0060255,GO:0065007,GO:0065009,GO:0070013,GO:0070302,GO:0070303,GO:0070372,GO:0070373,GO:0071704,GO:0071900,GO:0071901,GO:0071944,GO:0080090,GO:0080134,GO:0080135,GO:0140096,GO:1901564,GO:1902531,GO:1902532,GO:1903037,GO:1903038	ko:K14165,ko:K17614	DSPc	IPR029021,IPR000387,IPR020405,IPR016130,IPR020422,-,IPR000340	XP_071515013.1	XP_071515013.1 uncharacterized protein [Panulirus ornatus]	sp|Q6B8I0|DS13A_MOUSE	sp|Q6B8I0|DS13A_MOUSE Dual specificity protein phosphatase 13A OS=Mus musculus OX=10090 GN=Dusp13a PE=2 SV=1
misc_22	IT	GO:0000003,GO:0000062,GO:0000139,GO:0000166,GO:0000212,GO:0000226,GO:0000280,GO:0000902,GO:0000904,GO:0000910,GO:0000912,GO:0000915,GO:0000916,GO:0001700,GO:0001701,GO:0003008,GO:0003674,GO:0005215,GO:0005319,GO:0005488,GO:0005504,GO:0005543,GO:0005548,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005635,GO:0005737,GO:0005739,GO:0005783,GO:0005789,GO:0005794,GO:0005829,GO:0005886,GO:0006629,GO:0006810,GO:0006811,GO:0006820,GO:0006869,GO:0006890,GO:0006996,GO:0006997,GO:0007010,GO:0007017,GO:0007049,GO:0007051,GO:0007110,GO:0007111,GO:0007112,GO:0007140,GO:0007154,GO:0007165,GO:0007166,GO:0007275,GO:0007276,GO:0007283,GO:0007399,GO:0007409,GO:0007600,GO:0007601,GO:0008150,GO:0008152,GO:0008289,GO:0008525,GO:0008526,GO:0009653,GO:0009790,GO:0009792,GO:0009987,GO:0010033,GO:0010876,GO:0012505,GO:0015711,GO:0015748,GO:0015914,GO:0016006,GO:0016020,GO:0016021,GO:0016043,GO:0016192,GO:0017076,GO:0019221,GO:0019953,GO:0022008,GO:0022402,GO:0022412,GO:0022414,GO:0022607,GO:0023052,GO:0030029,GO:0030030,GO:0030036,GO:0030154,GO:0030182,GO:0030554,GO:0030865,GO:0030866,GO:0031032,GO:0031090,GO:0031175,GO:0031210,GO:0031224,GO:0031406,GO:0031566,GO:0031965,GO:0031967,GO:0031975,GO:0031984,GO:0032153,GO:0032154,GO:0032155,GO:0032501,GO:0032502,GO:0032504,GO:0032506,GO:0032553,GO:0032555,GO:0032559,GO:0032989,GO:0032990,GO:0033036,GO:0033206,GO:0033218,GO:0033293,GO:0034097,GO:0035091,GO:0035722,GO:0036041,GO:0036094,GO:0036212,GO:0036213,GO:0042175,GO:0042221,GO:0043009,GO:0043167,GO:0043168,GO:0043169,GO:0043177,GO:0043209,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043954,GO:0044085,GO:0044238,GO:0044422,GO:0044424,GO:0044425,GO:0044428,GO:0044431,GO:0044432,GO:0044444,GO:0044446,GO:0044459,GO:0044464,GO:0044703,GO:0044837,GO:0048037,GO:0048137,GO:0048193,GO:0048232,GO:0048285,GO:0048468,GO:0048609,GO:0048666,GO:0048667,GO:0048699,GO:0048731,GO:0048812,GO:0048856,GO:0048858,GO:0048869,GO:0050662,GO:0050789,GO:0050794,GO:0050877,GO:0050896,GO:0050953,GO:0050997,GO:0051179,GO:0051234,GO:0051301,GO:0051321,GO:0051704,GO:0051716,GO:0061564,GO:0061640,GO:0061982,GO:0061983,GO:0065007,GO:0070405,GO:0070540,GO:0070671,GO:0070732,GO:0070887,GO:0071310,GO:0071345,GO:0071349,GO:0071702,GO:0071704,GO:0071840,GO:0071944,GO:0097159,GO:0097367,GO:0098588,GO:0098590,GO:0098791,GO:0098827,GO:0120036,GO:0120039,GO:0140013,GO:1901265,GO:1901363,GO:1901567,GO:1901611,GO:1901681,GO:1903046	-	IP_trans	IPR001666,-,IPR023393,IPR055261	XP_053629194.1	XP_053629194.1 phosphatidylinositol transfer protein beta isoform isoform X3 [Cherax quadricarinatus]	sp|Q2HJ54|PIPNA_BOVIN	sp|Q2HJ54|PIPNA_BOVIN Phosphatidylinositol transfer protein alpha isoform OS=Bos taurus OX=9913 GN=PITPNA PE=1 SV=3
misc_23	H	-	-	SusD-like_2	IPR011990,-,IPR041662	MCR9290339.1	MCR9290339.1 SusD/RagB family nutrient-binding outer membrane lipoprotein [Bacteroidota bacterium]	-	-
misc_24	P	-	-	CarbopepD_reg_2,Plug,TonB_dep_Rec	IPR023997,IPR039426,IPR036942,IPR023996,IPR012910,IPR037066,IPR008969,-	MCR9290340.1	MCR9290340.1 SusC/RagA family TonB-linked outer membrane protein [Bacteroidota bacterium]	sp|T2KPJ3|PLH3_FORAG	sp|T2KPJ3|PLH3_FORAG TonB-dependent receptor P3 OS=Formosa agariphila (strain DSM 15362 / KCTC 12365 / LMG 23005 / KMM 3901 / M-2Alg 35-1) OX=1347342 GN=BN863_21920 PE=2 SV=1
misc_25	T	-	-	HATPase_c,HTH_18,HisKA,Reg_prop,Response_reg,Y_Y_Y	IPR009057,IPR015943,IPR036890,IPR011006,IPR003661,IPR004358,IPR013783,IPR005467,IPR003594,IPR011110,IPR018062,IPR018060,-,IPR001789,IPR036097,IPR011123	MEM6321309.1	MEM6321309.1 ATP-binding protein [Bacteroidota bacterium]	sp|T2KMF4|PLH4_FORAG	sp|T2KMF4|PLH4_FORAG Histidine kinase P4 OS=Formosa agariphila (strain DSM 15362 / KCTC 12365 / LMG 23005 / KMM 3901 / M-2Alg 35-1) OX=1347342 GN=BN863_21930 PE=3 SV=1
misc_26	S	-	-	N6-adenineMlase,zf-CCHC,zf-GRF	IPR017921,IPR039846,IPR041370,IPR010666,IPR002052	XP_071549893.1	XP_071549893.1 rRNA N(6)-adenosine-methyltransferase ZCCHC4 isoform X2 [Panulirus ornatus]	sp|Q9H5U6|ZCHC4_HUMAN	sp|Q9H5U6|ZCHC4_HUMAN rRNA N(6)-adenosine-methyltransferase ZCCHC4 OS=Homo sapiens OX=9606 GN=ZCCHC4 PE=1 SV=3
misc_29	S	-	-	N6-adenineMlase,zf-CCHC,zf-GRF	IPR017921,IPR041370,IPR002052,IPR039846	XP_071549893.1	XP_071549893.1 rRNA N(6)-adenosine-methyltransferase ZCCHC4 isoform X2 [Panulirus ornatus]	sp|Q8BKW4|ZCHC4_MOUSE	sp|Q8BKW4|ZCHC4_MOUSE rRNA N(6)-adenosine-methyltransferase ZCCHC4 OS=Mus musculus OX=10090 GN=Zcchc4 PE=2 SV=1
misc_32	E	-	-	FTCD_N	IPR037070,IPR022384,IPR012886,IPR037064,IPR051623	XP_071521279.1	XP_071521279.1 uncharacterized protein [Panulirus ornatus]	sp|Q9SKT4|FTCDL_ARATH	sp|Q9SKT4|FTCDL_ARATH Formiminotransferase cyclodeaminase-like protein OS=Arabidopsis thaliana OX=3702 GN=FTCD-L PE=2 SV=2
misc_35	T	GO:0000003,GO:0003006,GO:0003674,GO:0005215,GO:0005488,GO:0005539,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005769,GO:0005886,GO:0006950,GO:0006952,GO:0007275,GO:0007399,GO:0007530,GO:0008037,GO:0008038,GO:0008039,GO:0008150,GO:0008201,GO:0009605,GO:0009607,GO:0009620,GO:0009987,GO:0010008,GO:0012505,GO:0012506,GO:0016020,GO:0016021,GO:0018992,GO:0022008,GO:0022414,GO:0030141,GO:0030154,GO:0030182,GO:0030246,GO:0030659,GO:0030667,GO:0031090,GO:0031224,GO:0031410,GO:0031901,GO:0031982,GO:0032501,GO:0032502,GO:0032879,GO:0032880,GO:0043167,GO:0043168,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0044422,GO:0044424,GO:0044425,GO:0044433,GO:0044440,GO:0044444,GO:0044446,GO:0044464,GO:0048468,GO:0048471,GO:0048666,GO:0048699,GO:0048731,GO:0048856,GO:0048869,GO:0050789,GO:0050832,GO:0050896,GO:0051046,GO:0051049,GO:0051704,GO:0051707,GO:0065007,GO:0071944,GO:0097367,GO:0097708,GO:0098542,GO:0098588,GO:0098805,GO:0099503,GO:1901681	ko:K01414	Solute_trans_a	-,IPR005178	XP_071521270.1	XP_071521270.1 transmembrane protein 184B isoform X1 [Panulirus ornatus]	sp|A2VDL9|T184B_BOVIN	sp|A2VDL9|T184B_BOVIN Transmembrane protein 184B OS=Bos taurus OX=9913 GN=TMEM184B PE=2 SV=1
misc_40	T	GO:0000003,GO:0003006,GO:0003674,GO:0005215,GO:0005488,GO:0005539,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005769,GO:0005886,GO:0006950,GO:0006952,GO:0007275,GO:0007399,GO:0007530,GO:0008037,GO:0008038,GO:0008039,GO:0008150,GO:0008201,GO:0009605,GO:0009607,GO:0009620,GO:0009987,GO:0010008,GO:0012505,GO:0012506,GO:0016020,GO:0016021,GO:0018992,GO:0022008,GO:0022414,GO:0030141,GO:0030154,GO:0030182,GO:0030246,GO:0030659,GO:0030667,GO:0031090,GO:0031224,GO:0031410,GO:0031901,GO:0031982,GO:0032501,GO:0032502,GO:0032879,GO:0032880,GO:0043167,GO:0043168,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0044422,GO:0044424,GO:0044425,GO:0044433,GO:0044440,GO:0044444,GO:0044446,GO:0044464,GO:0048468,GO:0048471,GO:0048666,GO:0048699,GO:0048731,GO:0048856,GO:0048869,GO:0050789,GO:0050832,GO:0050896,GO:0051046,GO:0051049,GO:0051704,GO:0051707,GO:0065007,GO:0071944,GO:0097367,GO:0097708,GO:0098542,GO:0098588,GO:0098805,GO:0099503,GO:1901681	ko:K01414	Solute_trans_a	-,IPR005178	XP_071521271.1	XP_071521271.1 transmembrane protein 184B isoform X2 [Panulirus ornatus]	sp|A2VDL9|T184B_BOVIN	sp|A2VDL9|T184B_BOVIN Transmembrane protein 184B OS=Bos taurus OX=9913 GN=TMEM184B PE=2 SV=1
misc_44	-	-	-	-	-	-	-	-	-
misc_45	-	-	-	DDE_3,Transposase_1	IPR001888,IPR052709,IPR036397	XP_066947104.1	XP_066947104.1 protein GVQW3-like [Macrobrachium rosenbergii]	-	-
misc_46	O	GO:0000578,GO:0000785,GO:0000803,GO:0001085,GO:0001741,GO:0002039,GO:0003002,GO:0003674,GO:0003824,GO:0004175,GO:0004197,GO:0004843,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005694,GO:0005700,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006281,GO:0006283,GO:0006289,GO:0006325,GO:0006342,GO:0006355,GO:0006464,GO:0006508,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0006996,GO:0007044,GO:0007275,GO:0007350,GO:0007351,GO:0007389,GO:0008022,GO:0008134,GO:0008150,GO:0008152,GO:0008233,GO:0008234,GO:0008595,GO:0009790,GO:0009798,GO:0009880,GO:0009889,GO:0009890,GO:0009892,GO:0009893,GO:0009894,GO:0009895,GO:0009948,GO:0009952,GO:0009987,GO:0010216,GO:0010468,GO:0010556,GO:0010558,GO:0010604,GO:0010605,GO:0010629,GO:0010941,GO:0010942,GO:0016043,GO:0016458,GO:0016569,GO:0016570,GO:0016578,GO:0016579,GO:0016787,GO:0019219,GO:0019222,GO:0019538,GO:0019783,GO:0019899,GO:0022607,GO:0030162,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031329,GO:0031330,GO:0031581,GO:0031625,GO:0031647,GO:0031974,GO:0031981,GO:0032088,GO:0032204,GO:0032268,GO:0032269,GO:0032434,GO:0032435,GO:0032501,GO:0032502,GO:0032991,GO:0033043,GO:0033044,GO:0033554,GO:0034329,GO:0034330,GO:0034641,GO:0035282,GO:0035328,GO:0035520,GO:0035616,GO:0036211,GO:0036459,GO:0040029,GO:0042176,GO:0042177,GO:0042802,GO:0042803,GO:0042981,GO:0043065,GO:0043067,GO:0043068,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043412,GO:0043433,GO:0044085,GO:0044092,GO:0044093,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044389,GO:0044422,GO:0044424,GO:0044427,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0045814,GO:0045861,GO:0045892,GO:0045934,GO:0045935,GO:0046483,GO:0046983,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048856,GO:0050789,GO:0050794,GO:0050821,GO:0050896,GO:0051052,GO:0051054,GO:0051090,GO:0051091,GO:0051128,GO:0051171,GO:0051172,GO:0051173,GO:0051179,GO:0051235,GO:0051246,GO:0051248,GO:0051252,GO:0051253,GO:0051276,GO:0051640,GO:0051641,GO:0051642,GO:0051651,GO:0051657,GO:0051661,GO:0051716,GO:0060255,GO:0061136,GO:0061629,GO:0061842,GO:0065007,GO:0065008,GO:0065009,GO:0070011,GO:0070013,GO:0070646,GO:0070647,GO:0071108,GO:0071704,GO:0071840,GO:0080090,GO:0090304,GO:0101005,GO:0140096,GO:1901360,GO:1901535,GO:1901537,GO:1901564,GO:1901799,GO:1902679,GO:1903050,GO:1903051,GO:1903362,GO:1903363,GO:1903506,GO:1903507,GO:1904353,GO:1990380,GO:2000058,GO:2000059,GO:2000112,GO:2000113,GO:2001141	ko:K11838	MATH,UCH,USP7_C2,USP7_ICP0_bdg	IPR029346,-,IPR024729	XP_053649994.1	XP_053649994.1 ubiquitin carboxyl-terminal hydrolase 7 [Cherax quadricarinatus]	sp|Q93009|UBP7_HUMAN	sp|Q93009|UBP7_HUMAN Ubiquitin carboxyl-terminal hydrolase 7 OS=Homo sapiens OX=9606 GN=USP7 PE=1 SV=2
misc_47	P	-	ko:K14158,ko:K14383,ko:K14389	SSF	IPR038377,IPR001734,-,IPR018212	XP_053636730.2	XP_053636730.2 sodium/glucose cotransporter 4-like [Cherax quadricarinatus]	sp|A8WHP3|SC5A9_DANRE	sp|A8WHP3|SC5A9_DANRE Sodium/glucose cotransporter 4 OS=Danio rerio OX=7955 GN=slc5a9 PE=2 SV=1
misc_50	P	-	ko:K14158,ko:K14383,ko:K14389	SSF	IPR038377,IPR001734,-,IPR018212	XP_053636730.2	XP_053636730.2 sodium/glucose cotransporter 4-like [Cherax quadricarinatus]	sp|A8WHP3|SC5A9_DANRE	sp|A8WHP3|SC5A9_DANRE Sodium/glucose cotransporter 4 OS=Danio rerio OX=7955 GN=slc5a9 PE=2 SV=1
misc_55	P	-	ko:K14158,ko:K14383,ko:K14389	SSF	IPR001734,-,IPR038377,IPR018212	XP_053636730.2	XP_053636730.2 sodium/glucose cotransporter 4-like [Cherax quadricarinatus]	sp|A8WHP3|SC5A9_DANRE	sp|A8WHP3|SC5A9_DANRE Sodium/glucose cotransporter 4 OS=Danio rerio OX=7955 GN=slc5a9 PE=2 SV=1
misc_58	-	-	-	-	-	-	-	-	-
misc_59	-	-	-	-	-	-	-	-	-
misc_60	K	-	ko:K21826	DJ-1_PfpI,HTH_18	IPR009057,IPR052158,IPR020449,IPR029062,IPR018062,IPR018060,IPR002818,-	MEM9788137.1	MEM9788137.1 GlxA family transcriptional regulator [Pseudomonadota bacterium]	sp|Q9HTH5|CDHR_PSEAE	sp|Q9HTH5|CDHR_PSEAE HTH-type transcriptional regulator CdhR OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=cdhR PE=1 SV=1
